Trial,S1_A_val,S1_A_std,S1_B_val,S2_A_val,S2_A_std,S2_B_val
272,-4.865771812080537,8,-4.865771812080537,0,0.18,0
273,-4.865771812080537,8,-4.865771812080537,0,0.18,0
274,-4.865771812080537,8,-4.865771812080537,0,0.18,0
275,-4.865771812080537,8,-4.865771812080537,0,0.18,0
276,-4.865771812080537,8,-4.865771812080537,0,0.18,0
277,-4.865771812080537,8,-4.865771812080537,0,0.18,0
278,-4.865771812080537,8,-4.865771812080537,0,0.18,0
279,-4.865771812080537,8,-4.865771812080537,0,0.18,0
280,-4.865771812080537,8,-4.865771812080537,0,0.18,0
281,-4.865771812080537,8,-4.865771812080537,0,0.18,0
282,-4.865771812080537,8,-4.865771812080537,0,0.18,0
283,-4.865771812080537,8,-4.865771812080537,0,0.18,0
284,-4.865771812080537,8,-4.865771812080537,0,0.18,0
285,-4.865771812080537,8,-4.865771812080537,0,0.18,0
286,-4.865771812080537,8,-4.865771812080537,0,0.18,0
287,-4.865771812080537,8,-4.865771812080537,0,0.18,0
288,-4.865771812080537,8,-4.865771812080537,0,0.18,0
289,-4.865771812080537,8,-4.865771812080537,0,0.18,0
290,-4.865771812080537,8,-4.865771812080537,0,0.18,0
291,-4.865771812080537,8,-4.865771812080537,0,0.18,0
292,-4.865771812080537,8,-4.865771812080537,0,0.18,0
293,-4.865771812080537,8,-4.865771812080537,0,0.18,0
294,-4.865771812080537,8,-4.865771812080537,0,0.18,0
295,-4.865771812080537,8,-4.865771812080537,0,0.18,0
296,-4.865771812080537,8,-4.865771812080537,0,0.18,0
297,-4.865771812080537,8,-4.865771812080537,0,0.18,0
298,-4.865771812080537,8,-4.865771812080537,0,0.18,0
299,-4.865771812080537,8,-4.865771812080537,0,0.18,0
300,-4.865771812080537,8,-4.865771812080537,0,0.18,0
301,-4.798657718120805,8,-4.798657718120805,0,0.18,0
302,-4.798657718120805,8,-4.798657718120805,0,0.18,0
303,-4.798657718120805,8,-4.798657718120805,0,0.18,0
304,-4.798657718120805,8,-4.798657718120805,0,0.18,0
305,-4.798657718120805,8,-4.798657718120805,0,0.18,0
306,-4.798657718120805,8,-4.798657718120805,0,0.18,0
307,-4.798657718120805,8,-4.798657718120805,0,0.18,0
308,-4.798657718120805,8,-4.798657718120805,0,0.18,0
309,-4.798657718120805,8,-4.798657718120805,0,0.18,0
310,-4.798657718120805,8,-4.798657718120805,0,0.18,0
311,-4.798657718120805,8,-4.798657718120805,0,0.18,0
312,-4.798657718120805,8,-4.798657718120805,0,0.18,0
313,-4.798657718120805,8,-4.798657718120805,0,0.18,0
314,-4.798657718120805,8,-4.798657718120805,0,0.18,0
315,-4.798657718120805,8,-4.798657718120805,0,0.18,0
316,-4.798657718120805,8,-4.798657718120805,0,0.18,0
317,-4.798657718120805,8,-4.798657718120805,0,0.18,0
318,-4.798657718120805,8,-4.798657718120805,0,0.18,0
319,-4.798657718120805,8,-4.798657718120805,0,0.18,0
320,-4.798657718120805,8,-4.798657718120805,0,0.18,0
321,-4.798657718120805,8,-4.798657718120805,0,0.18,0
322,-4.798657718120805,8,-4.798657718120805,0,0.18,0
323,-4.798657718120805,8,-4.798657718120805,0,0.18,0
324,-4.798657718120805,8,-4.798657718120805,0,0.18,0
325,-4.798657718120805,8,-4.798657718120805,0,0.18,0
326,-4.798657718120805,8,-4.798657718120805,0,0.18,0
327,-4.798657718120805,8,-4.798657718120805,0,0.18,0
328,-4.798657718120805,8,-4.798657718120805,0,0.18,0
