Trial,S1_A_val,S1_A_std,S1_B_val,S2_A_val,S2_A_std,S2_B_val
262,0,8,0,-4.865771812080537,0.18,-4.865771812080537
263,0,8,0,-4.865771812080537,0.18,-4.865771812080537
264,0,8,0,-4.865771812080537,0.18,-4.865771812080537
265,0,8,0,-4.865771812080537,0.18,-4.865771812080537
266,0,8,0,-4.865771812080537,0.18,-4.865771812080537
267,0,8,0,-4.865771812080537,0.18,-4.865771812080537
268,0,8,0,-4.865771812080537,0.18,-4.865771812080537
269,0,8,0,-4.865771812080537,0.18,-4.865771812080537
270,0,8,0,-4.865771812080537,0.18,-4.865771812080537
271,0,8,0,-4.865771812080537,0.18,-4.865771812080537
272,0,8,0,-4.865771812080537,0.18,-4.865771812080537
273,0,8,0,-4.865771812080537,0.18,-4.865771812080537
274,0,8,0,-4.865771812080537,0.18,-4.865771812080537
275,0,8,0,-4.865771812080537,0.18,-4.865771812080537
276,0,8,0,-4.865771812080537,0.18,-4.865771812080537
277,0,8,0,-4.865771812080537,0.18,-4.865771812080537
278,0,8,0,-4.865771812080537,0.18,-4.865771812080537
279,0,8,0,-4.865771812080537,0.18,-4.865771812080537
280,0,8,0,-4.865771812080537,0.18,-4.865771812080537
281,0,8,0,-4.865771812080537,0.18,-4.865771812080537
282,0,8,0,-4.865771812080537,0.18,-4.865771812080537
283,0,8,0,-4.865771812080537,0.18,-4.865771812080537
284,0,8,0,-4.865771812080537,0.18,-4.865771812080537
285,0,8,0,-4.865771812080537,0.18,-4.865771812080537
286,0,8,0,-4.865771812080537,0.18,-4.865771812080537
287,0,8,0,-4.865771812080537,0.18,-4.865771812080537
288,0,8,0,-4.865771812080537,0.18,-4.865771812080537
289,0,8,0,-4.865771812080537,0.18,-4.865771812080537
290,0,8,0,-4.865771812080537,0.18,-4.865771812080537
291,0,8,0,-4.865771812080537,0.18,-4.865771812080537
292,0,8,0,-4.865771812080537,0.18,-4.865771812080537
293,0,8,0,-4.865771812080537,0.18,-4.865771812080537
