Trial,S1_A_val,S1_A_std,S1_B_val,S2_A_val,S2_A_std,S2_B_val,Decision (S1>S2)
164,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
165,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
166,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
167,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
168,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
169,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
170,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
171,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
172,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
173,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
174,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
175,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
176,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
177,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
178,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
179,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
180,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
181,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
182,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
183,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
184,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
185,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
186,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
187,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
188,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
189,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
190,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
191,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
192,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
193,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
194,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
195,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
196,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
197,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
198,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
199,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
200,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
201,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
202,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
203,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
204,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
205,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
206,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
207,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
208,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
209,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
210,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
211,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
212,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
213,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
214,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
215,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
216,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
217,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
218,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
219,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
220,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
221,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
222,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
223,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
224,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
225,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
226,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
227,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
228,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
229,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
230,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
231,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
232,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
233,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
234,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
235,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
236,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
237,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
238,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
239,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
240,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
241,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
242,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
243,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
244,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
245,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
246,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
247,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
248,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
249,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
250,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
251,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
252,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
253,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
254,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
255,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
256,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
257,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
258,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
259,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
260,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
261,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
262,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
263,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
264,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
265,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
266,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
267,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
268,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
269,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
270,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
271,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
272,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
273,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
274,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
275,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
276,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
277,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
278,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
279,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
280,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
281,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
282,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
283,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
284,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
285,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
286,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
287,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
288,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
289,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
290,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
291,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
292,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
293,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,0
294,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
295,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
296,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
297,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
298,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
299,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
300,-9.798994974874372,0,-9.798994974874372,-9.798994974874372,8,-9.798994974874372,1
301,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
302,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
303,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
304,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
305,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
306,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
307,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
308,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
309,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
310,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
311,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
312,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
313,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
314,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,1
315,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,1
316,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
317,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
318,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
319,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
320,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
321,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
322,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
323,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
324,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,1
325,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
326,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,1
327,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
328,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
329,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
330,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,1
331,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
332,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
333,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
334,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,1
335,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
336,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
337,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
338,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
339,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
340,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
341,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
342,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
343,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
344,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
345,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,1
346,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
347,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
348,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
349,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
350,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
351,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
352,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,1
353,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
354,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
355,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
356,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
357,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
358,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
359,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
360,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
361,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
362,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
363,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,1
364,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,1
365,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
366,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,1
367,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
368,-9.698492462311558,0,-9.698492462311558,-9.698492462311558,8,-9.698492462311558,0
