Trial,M,mu_prior,v_prior,K
88,0.014985156674987343,0.39600921484483276,0.042393013282557644,0.010571823761233683
89,0.618762966058805,0.39833949295532184,0.04194953024197297,0.010461229486773692
90,4.042408822153852,0.4360662700013067,0.04151522989484681,0.010352925160807097
91,1.533745069977492,0.4473140094631876,0.041089829960396534,0.010246840389123763
92,1.4061821910436794,0.4570397208616812,0.040673059610431134,0.010142907633521443
93,-4.744223304092905,0.40481351599393933,0.04026465889437029,0.010041062068419015
94,-1.9347980731713046,0.38155487229613555,0.03986437819855962,0.009941241446022363
95,-0.3328345563532945,0.37452286141744173,0.03947197773751892,0.009843385969453637
96,-0.739401016602844,0.3636649572866759,0.03908722707494456,0.009747438173300453
97,1.581891353192158,0.37542491430786257,0.03870990467245544,0.009653342811083739
98,1.5441961087888743,0.3865995903373918,0.03833979746422575,0.009561046749181096
99,-0.07254458046783041,0.3822512659880933,0.03797670045578831,0.009470498866777765
100,-1.8443206488110935,0.3613623476694533,0.03762041634542129,0.009381649961449355
