Trial,S1_A_val,S1_A_std,S1_B_val,S2_A_val,S2_A_std,S2_B_val,Decision (S1>S2)
187,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
188,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
189,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
190,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
191,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
192,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
193,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
194,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
195,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
196,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
197,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
198,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
199,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
200,-10,0.18,10,-4.932885906040268,0,-4.932885906040268,1
201,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
202,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
203,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
204,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
205,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
206,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
207,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
208,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
209,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
210,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
211,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
212,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
213,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
214,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
215,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
216,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
217,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
218,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
219,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
220,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
221,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
222,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
223,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
224,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
225,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
226,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
227,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
228,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
229,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
230,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
231,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
232,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
233,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
234,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
235,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
236,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
237,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
238,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
239,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
240,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
